,Date,Matchup,Bookmaker,Team,Moneyline Odds,Opposing Odds,Estimated Win Percentage
0,2025-12-14T20:10:00Z,Indiana Pacers vs Washington Wizards,draftkings,Indiana Pacers,-360,285,0.782608695652174
1,2025-12-14T20:10:00Z,Indiana Pacers vs Washington Wizards,draftkings,Washington Wizards,285,-360,0.2597402597402597
2,2025-12-14T20:40:00Z,Cleveland Cavaliers vs Charlotte Hornets,draftkings,Charlotte Hornets,390,-520,0.20408163265306123
3,2025-12-14T20:40:00Z,Cleveland Cavaliers vs Charlotte Hornets,draftkings,Cleveland Cavaliers,-520,390,0.8387096774193549
4,2025-12-14T23:10:00Z,Atlanta Hawks vs Philadelphia 76ers,draftkings,Atlanta Hawks,-205,170,0.6721311475409836
5,2025-12-14T23:10:00Z,Atlanta Hawks vs Philadelphia 76ers,draftkings,Philadelphia 76ers,170,-205,0.37037037037037035
6,2025-12-14T23:10:00Z,Brooklyn Nets vs Milwaukee Bucks,draftkings,Brooklyn Nets,105,-125,0.4878048780487805
7,2025-12-14T23:10:00Z,Brooklyn Nets vs Milwaukee Bucks,draftkings,Milwaukee Bucks,-125,105,0.5555555555555556
8,2025-12-15T00:10:00Z,Chicago Bulls vs New Orleans Pelicans,draftkings,Chicago Bulls,-198,164,0.6644295302013423
9,2025-12-15T00:10:00Z,Chicago Bulls vs New Orleans Pelicans,draftkings,New Orleans Pelicans,164,-198,0.3787878787878788
10,2025-12-15T00:10:00Z,Minnesota Timberwolves vs Sacramento Kings,draftkings,Minnesota Timberwolves,-550,410,0.8461538461538461
11,2025-12-15T00:10:00Z,Minnesota Timberwolves vs Sacramento Kings,draftkings,Sacramento Kings,410,-550,0.19607843137254902
12,2025-12-15T01:10:00Z,Phoenix Suns vs Los Angeles Lakers,draftkings,Los Angeles Lakers,-135,114,0.574468085106383
13,2025-12-15T01:10:00Z,Phoenix Suns vs Los Angeles Lakers,draftkings,Phoenix Suns,114,-135,0.4672897196261682
14,2025-12-15T02:10:00Z,Portland Trail Blazers vs Golden State Warriors,draftkings,Golden State Warriors,-185,154,0.6491228070175439
15,2025-12-15T02:10:00Z,Portland Trail Blazers vs Golden State Warriors,draftkings,Portland Trail Blazers,154,-185,0.3937007874015748
16,2025-12-17T01:40:00Z,New York Knicks vs San Antonio Spurs,draftkings,New York Knicks,-130,110,0.5652173913043478
17,2025-12-17T01:40:00Z,New York Knicks vs San Antonio Spurs,draftkings,San Antonio Spurs,110,-130,0.47619047619047616
